咸阳,108.707509,34.345373,13
延安,109.50051,36.60332,13
榆林,109.745926,38.279439,12
成都,104.067923,30.679943,12
阿坝州,102.228565,31.905763,15
巴中,106.757916,31.869189,14
达州,107.494973,31.214199,14
德阳,104.402398,31.13114,13
甘孜州,101.969232,30.055144,15
广安,106.63572,30.463984,13
广元,105.819687,32.44104,13
乐山,103.760824,29.600958,13
凉山州,102.259591,27.892393,14
泸州,105.44397,28.89593,14
南充,106.105554,30.800965,13
眉山,103.84143,30.061115,13
绵阳,104.705519,31.504701,12
内江,105.073056,29.599462,13
攀枝花,101.722423,26.587571,14
遂宁,105.564888,30.557491,12
雅安,103.009356,29.999716,13
宜宾,104.633019,28.769675,13
资阳,104.63593,30.132191,13
自贡,104.776071,29.359157,13
拉萨,91.111891,29.662557,13
阿里地区,81.107669,30.404557,11
昌都地区,97.185582,31.140576,15
林芝地区,94.349985,29.666941,11
那曲地区,92.067018,31.48068,14
日喀则地区,88.891486,29.269023,14
山南地区,91.750644,29.229027,11
乌鲁木齐,87.564988,43.84038,12
阿拉尔,81.291737,40.61568,13
阿克苏地区,80.269846,41.171731,12
阿勒泰地区,88.137915,47.839744,13
巴音郭楞,86.121688,41.771362,12
博尔塔拉州,82.052436,44.913651,11
昌吉州,87.296038,44.007058,13
哈密地区,93.528355,42.858596,13
和田地区,79.930239,37.116774,13
喀什地区,75.992973,39.470627,12
克拉玛依,84.88118,45.594331,13
克孜勒苏州,76.137564,39.750346,11
石河子,86.041865,44.308259,13
塔城地区,82.974881,46.758684,12
图木舒克,79.198155,39.889223,13
吐鲁番地区,89.181595,42.96047,13
五家渠,87.565449,44.368899,13
伊犁州,81.297854,43.922248,11
昆明,102.714601,25.049153,12
保山,99.177996,25.120489,13
楚雄州,101.529382,25.066356,13
大理州,100.223675,25.5969,14
德宏州,98.589434,24.44124,14
迪庆州,99.713682,27.831029,14
红河州,103.384065,23.367718,11
丽江,100.229628,26.875351,13
临沧,100.092613,23.887806,14
怒江州,98.859932,25.860677,14
普洱,100.980058,22.788778,14
曲靖,103.782539,25.520758,12
昭通,103.725021,27.340633,13
文山,104.089112,23.401781,14
西双版纳,100.803038,22.009433,13
玉溪,102.545068,24.370447,13
杭州,120.219375,30.259244,12
湖州,120.137243,30.877925,12
嘉兴,120.760428,30.773992,13
金华,119.652576,29.102899,12
丽水,119.929576,28.4563,13
宁波,121.579006,29.885259,12
衢州,118.875842,28.95691,12
绍兴,120.592467,30.002365,13
台州,121.440613,28.668283,13
温州,120.690635,28.002838,12
舟山,122.169872,30.03601,13
香港,114.186124,22.293586,11
澳门,113.557519,22.204118,13
台湾,120.961454,23.80406,8
